Student_ID,Education,Location,Salary,Risk_Status
1158,Degree,Rural,7079,Stable
1159,Degree,Urban,6131,Stable
1160,Degree,Urban,5973,Stable
1161,Diploma,Urban,4297,Stable
1162,Degree,Urban,5751,High Risk
1163,Diploma,Rural,1849,High Risk
1164,Degree,Urban,6211,Stable
1165,Degree,Urban,5752,High Risk
1166,Diploma,Urban,3079,High Risk
1167,Diploma,Urban,4085,Stable
1168,Diploma,Urban,3240,High Risk
1169,Diploma,Urban,3105,High Risk
1170,Diploma,Urban,3461,High Risk
1171,Degree,Rural,5215,High Risk
1172,Degree,Urban,6060,Stable
1173,Degree,Rural,6328,High Risk
1174,Degree,Urban,6088,Stable
1175,Diploma,Urban,3515,Stable
1176,Degree,Rural,3557,Stable
1177,Diploma,Urban,4622,Stable
1178,Diploma,Urban,4377,Stable
1179,Degree,Urban,8102,High Risk
1180,Degree,Urban,7179,High Risk
1181,Degree,Rural,4164,Stable
1182,Diploma,Rural,2253,High Risk
1183,Degree,Rural,5067,Stable
1184,Degree,Rural,2944,High Risk
1185,Diploma,Urban,2949,High Risk
1186,Degree,Urban,5819,High Risk
1187,Diploma,Urban,4043,Stable
1188,Diploma,Urban,2576,High Risk
1189,Diploma,Rural,1797,High Risk
1190,Degree,Urban,6378,Stable
1191,Degree,Urban,5186,Stable
1192,Diploma,Rural,4107,Stable
1193,Degree,Urban,5933,High Risk
1194,Degree,Rural,5952,High Risk
1195,Degree,Rural,5450,Stable
1196,Diploma,Urban,3209,High Risk
1197,Diploma,Urban,2220,Stable
1198,Degree,Urban,6624,Stable
1199,Diploma,Urban,4164,High Risk
1200,Degree,Rural,5668,Stable
1201,Degree,Urban,5251,Stable
1202,Degree,Urban,5783,Stable
1203,Degree,Urban,7922,Stable
1204,Degree,Urban,6868,Stable
1205,Degree,Rural,5028,High Risk
1206,Degree,Rural,3731,Stable
1207,Degree,Urban,6336,Stable
1208,Diploma,Urban,3366,High Risk
1209,Diploma,Urban,4095,Stable
1210,Diploma,Rural,2701,Stable
1211,Diploma,Urban,2900,High Risk
1212,Degree,Urban,4239,Stable
1213,Degree,Rural,4479,Stable
1214,Diploma,Urban,2890,High Risk
1215,Diploma,Urban,4450,Stable
1216,Degree,Urban,6440,High Risk
1217,Diploma,Rural,1500,High Risk
1218,Degree,Urban,4970,Stable
1219,Diploma,Rural,2559,High Risk
1220,Diploma,Urban,3463,High Risk
1221,Diploma,Urban,4358,Stable
1222,Diploma,Rural,2054,High Risk
1223,Degree,Urban,3218,High Risk
1224,Diploma,Urban,4076,Stable
1225,Degree,Rural,4815,Stable
1226,Diploma,Rural,3156,Stable
1227,Diploma,Urban,3436,High Risk
1228,Degree,Urban,6529,Stable
1229,Degree,Urban,7665,Stable
1230,Degree,Rural,7471,Stable
1231,Diploma,Urban,3429,High Risk
1232,Diploma,Rural,2197,High Risk
1233,Diploma,Urban,3939,High Risk
1234,Degree,Urban,6940,High Risk
1235,Diploma,Urban,2964,High Risk
1236,Diploma,Urban,3417,High Risk
1237,Degree,Urban,6303,High Risk
1238,Degree,Urban,3765,Stable
1239,Degree,Urban,6429,Stable
1240,Degree,Urban,6444,Stable
1241,Degree,Urban,6010,Stable
1242,Degree,Rural,2875,High Risk
1243,Degree,Rural,4217,Stable
1244,Degree,Urban,5820,Stable
1245,Diploma,Urban,2947,High Risk
1246,Diploma,Urban,2404,High Risk
1247,Degree,Urban,4653,Stable
1248,Diploma,Urban,3703,Stable
1249,Degree,Rural,6057,Stable
1250,Degree,Rural,5419,Stable
1251,Diploma,Urban,3996,Stable
1252,Degree,Urban,5545,Stable
1253,Diploma,Urban,4765,Stable
1254,Degree,Urban,6264,Stable
1255,Diploma,Urban,2957,High Risk
1256,Diploma,Urban,3717,Stable
1257,Diploma,Urban,4131,Stable
1258,Diploma,Urban,4000,Stable
1259,Degree,Rural,5400,Stable
1260,Diploma,Rural,3668,Stable
1261,Diploma,Urban,3576,Stable
1262,Degree,Urban,4063,Stable
1263,Diploma,Rural,4062,Stable
1264,Diploma,Rural,3156,High Risk
1265,Degree,Rural,3831,Stable
1266,Diploma,Rural,2133,High Risk
1267,Degree,Urban,6634,Stable
1268,Degree,Urban,6169,High Risk
1269,Degree,Rural,3287,Stable
1270,Diploma,Urban,3317,High Risk
1271,Degree,Urban,7706,High Risk
1272,Degree,Urban,8173,Stable
1273,Degree,Urban,6070,Stable
1274,Diploma,Urban,3367,High Risk
1275,Degree,Urban,5803,Stable
1276,Diploma,Rural,4289,Stable
1277,Degree,Urban,4950,Stable
1278,Diploma,Urban,4641,Stable
1279,Degree,Urban,4992,Stable
1280,Diploma,Urban,4596,Stable
1281,Diploma,Rural,3255,Stable
1282,Diploma,Urban,3927,High Risk
1283,Diploma,Rural,2844,High Risk
1284,Diploma,Urban,2641,High Risk
1285,Diploma,Urban,4224,Stable
1286,Diploma,Rural,3474,High Risk
1287,Diploma,Urban,3251,High Risk
1288,Degree,Urban,6846,Stable
1289,Diploma,Rural,2519,High Risk
1290,Diploma,Urban,2645,Stable
1291,Diploma,Urban,3892,Stable
1292,Degree,Urban,7285,Stable
1293,Diploma,Urban,5591,Stable
1294,Degree,Rural,6304,Stable
1295,Degree,Rural,4801,Stable
1296,Degree,Rural,4974,Stable
1297,Degree,Urban,6547,Stable
1298,Degree,Urban,6941,Stable
1299,Diploma,Urban,2197,High Risk
1300,Diploma,Urban,4825,Stable
1301,Degree,Rural,4226,Stable
1302,Diploma,Rural,2258,High Risk
1303,Diploma,Urban,4084,Stable
1304,Diploma,Rural,2885,High Risk
1305,Diploma,Rural,3719,Stable
1306,Degree,Urban,6639,Stable
1307,Diploma,Urban,3104,High Risk
1308,Diploma,Rural,2151,High Risk
1309,Diploma,Rural,2937,Stable
1310,Diploma,Urban,3348,High Risk
1311,Diploma,Urban,2222,High Risk
1312,Degree,Urban,6683,Stable
1313,Diploma,Urban,3565,Stable
1314,Diploma,Rural,2527,High Risk
1315,Diploma,Rural,3111,High Risk
1316,Diploma,Urban,3972,Stable
1317,Diploma,Rural,2451,Stable
1318,Degree,Urban,5231,Stable
1319,Degree,Rural,4946,Stable
1320,Degree,Rural,5190,Stable
1321,Degree,Rural,5166,Stable
1322,Diploma,Urban,2989,Stable
1323,Diploma,Urban,3892,Stable
1324,Degree,Rural,3608,Stable
1325,Degree,Urban,4655,High Risk
1326,Diploma,Rural,3610,Stable
1327,Degree,Urban,6181,Stable
1328,Degree,Rural,3997,Stable
1329,Degree,Rural,1830,High Risk
1330,Degree,Urban,6389,Stable
1331,Degree,Urban,5005,Stable
1332,Diploma,Urban,3408,High Risk
1333,Diploma,Urban,3221,High Risk
1334,Diploma,Urban,3229,High Risk
1335,Diploma,Urban,2536,High Risk
1336,Diploma,Urban,3883,Stable
1337,Diploma,Rural,2432,High Risk
1338,Diploma,Urban,3339,High Risk
1339,Degree,Rural,5066,Stable
1340,Degree,Urban,6765,Stable
1341,Degree,Rural,3146,Stable
1342,Degree,Rural,3219,Stable
1343,Degree,Urban,5018,Stable
1344,Diploma,Urban,2904,High Risk
1345,Degree,Urban,3299,High Risk
1346,Diploma,Rural,3097,Stable
1347,Degree,Urban,5702,Stable
1348,Degree,Urban,3892,Stable
1349,Degree,Urban,5361,Stable
1350,Diploma,Urban,5946,Stable
1351,Degree,Urban,6159,Stable
1352,Diploma,Rural,2604,High Risk
1353,Diploma,Urban,2354,High Risk
1354,Degree,Rural,3856,Stable
1355,Degree,Urban,7619,Stable
1356,Diploma,Urban,3195,High Risk
1357,Degree,Urban,7096,Stable
1358,Degree,Urban,5766,Stable
1359,Degree,Urban,5909,Stable
1360,Diploma,Urban,2597,High Risk
1361,Degree,Rural,3854,Stable
1362,Degree,Urban,6081,Stable
1363,Degree,Rural,4511,Stable
1364,Diploma,Rural,3112,High Risk
1365,Diploma,Urban,4538,Stable
1366,Degree,Urban,4712,Stable
1367,Degree,Urban,5551,Stable
1368,Diploma,Urban,3387,High Risk
1369,Diploma,Rural,2435,High Risk
1370,Degree,Urban,6291,Stable
1371,Degree,Rural,4324,High Risk
1372,Degree,Rural,5189,Stable
1373,Diploma,Urban,2985,High Risk
1374,Diploma,Urban,4324,Stable
1375,Diploma,Urban,2461,High Risk
1376,Diploma,Rural,1614,High Risk
1377,Degree,Rural,4124,Stable
1378,Diploma,Urban,3249,High Risk
1379,Degree,Urban,5982,High Risk
1380,Diploma,Urban,3006,High Risk
1381,Degree,Urban,6004,Stable
1382,Degree,Urban,6325,Stable
1383,Diploma,Rural,3057,Stable
1384,Degree,Urban,3675,Stable
1385,Degree,Urban,5859,High Risk
1386,Diploma,Urban,3116,High Risk
1387,Degree,Rural,3528,Stable
1388,Degree,Urban,5671,Stable
1389,Degree,Urban,5730,Stable
1390,Degree,Rural,3683,High Risk
1391,Diploma,Rural,3089,Stable
1392,Diploma,Urban,3013,High Risk
1393,Degree,Urban,6012,Stable
1394,Degree,Urban,5292,Stable
1395,Degree,Urban,6784,Stable
1396,Diploma,Urban,4461,High Risk
1397,Diploma,Urban,2948,High Risk
1398,Diploma,Rural,1500,High Risk
1399,Degree,Rural,5335,Stable
1400,Degree,Rural,3778,Stable
1401,Degree,Urban,7358,Stable
1402,Diploma,Urban,2821,High Risk
1403,Diploma,Urban,3096,High Risk
1404,Diploma,Urban,2613,High Risk
1405,Degree,Urban,4436,Stable
1406,Degree,Urban,7114,High Risk
1407,Diploma,Urban,2892,High Risk
1408,Diploma,Urban,2546,High Risk
1409,Degree,Rural,5459,Stable
1410,Diploma,Urban,3520,Stable
1411,Degree,Rural,3435,Stable
1412,Degree,Urban,3521,Stable
1413,Degree,Rural,4194,Stable
1414,Degree,Urban,7401,Stable
1415,Diploma,Rural,1688,High Risk
1416,Degree,Rural,4126,Stable
1417,Degree,Urban,4295,Stable
1418,Diploma,Urban,3463,High Risk
1419,Degree,Urban,7732,High Risk
1420,Degree,Urban,8169,Stable
1421,Diploma,Urban,4604,Stable
1422,Degree,Urban,3961,Stable
1423,Degree,Urban,4534,Stable
1424,Diploma,Urban,4037,Stable
1425,Diploma,Urban,3020,High Risk
1426,Diploma,Urban,4293,Stable
1427,Diploma,Rural,2434,High Risk
1428,Diploma,Rural,2661,High Risk
1429,Degree,Urban,4793,Stable
1430,Degree,Urban,6025,Stable
1431,Diploma,Urban,1981,High Risk
1432,Degree,Rural,5533,Stable
1433,Degree,Urban,6556,Stable
1434,Degree,Rural,3489,High Risk
1435,Degree,Rural,4959,Stable
1436,Diploma,Urban,2521,High Risk
1437,Degree,Urban,6380,Stable
1438,Degree,Urban,5616,Stable
1439,Diploma,Urban,4831,Stable
1440,Degree,Urban,5495,Stable
1441,Diploma,Urban,4003,High Risk
1442,Degree,Rural,3217,Stable
1443,Degree,Urban,7446,Stable
1444,Degree,Urban,4874,Stable
1445,Degree,Urban,7356,Stable
1446,Diploma,Urban,3613,Stable
1447,Diploma,Urban,2921,High Risk
1448,Diploma,Rural,2660,High Risk
1449,Diploma,Rural,3645,High Risk
1450,Degree,Rural,5153,Stable
1451,Diploma,Urban,2509,High Risk
1452,Degree,Urban,6082,Stable
1453,Diploma,Urban,3588,Stable
1454,Degree,Urban,4008,Stable
1455,Diploma,Urban,3944,Stable
1456,Diploma,Urban,4507,High Risk
1457,Degree,Urban,4748,Stable
1458,Diploma,Urban,3030,High Risk
1459,Diploma,Rural,2475,High Risk
1460,Degree,Urban,4563,High Risk
1461,Degree,Rural,5206,Stable
1462,Degree,Urban,5167,Stable
1463,Diploma,Rural,2447,High Risk
1464,Degree,Urban,4856,Stable
1465,Degree,Rural,5841,Stable
1466,Degree,Urban,6373,Stable
1467,Diploma,Rural,2532,High Risk
1468,Degree,Urban,4262,Stable
1469,Degree,Urban,7307,Stable
1470,Degree,Urban,4800,High Risk
1471,Diploma,Urban,3081,High Risk
1472,Diploma,Urban,3544,High Risk
1473,Diploma,Urban,3526,Stable
1474,Diploma,Urban,4040,Stable
1475,Degree,Urban,5929,Stable
1476,Degree,Rural,5013,Stable
1477,Diploma,Rural,1824,High Risk
1478,Degree,Urban,3950,Stable
1479,Degree,Rural,4802,Stable
1480,Diploma,Urban,3615,Stable
1481,Diploma,Urban,3130,High Risk
1482,Diploma,Urban,3952,Stable
1483,Degree,Rural,3845,Stable
1484,Diploma,Urban,2631,High Risk
1485,Degree,Rural,2596,Stable
1486,Diploma,Urban,2827,High Risk
1487,Degree,Rural,5924,Stable
1488,Diploma,Urban,2804,High Risk
1489,Diploma,Urban,1950,Stable
1490,Diploma,Urban,3449,High Risk
1491,Diploma,Rural,3003,Stable
1492,Degree,Urban,5249,Stable
1493,Diploma,Urban,3618,Stable
1494,Degree,Urban,6041,Stable
1495,Degree,Rural,6066,Stable
1496,Diploma,Urban,2852,High Risk
1497,Diploma,Rural,1500,High Risk
1498,Diploma,Rural,3256,Stable
1499,Diploma,Urban,3929,High Risk
1500,Degree,Urban,6025,Stable
1501,Degree,Urban,6200,Stable
1502,Diploma,Urban,3829,Stable
1503,Degree,Urban,7993,Stable
1504,Degree,Urban,6387,Stable
1505,Degree,Urban,5349,Stable
1506,Degree,Urban,6376,Stable
1507,Degree,Rural,4226,Stable
1508,Diploma,Urban,4187,Stable
1509,Diploma,Rural,2292,High Risk
1510,Degree,Rural,1833,High Risk
1511,Degree,Rural,3872,Stable
1512,Diploma,Urban,4012,Stable
1513,Degree,Rural,4707,Stable
1514,Diploma,Urban,3160,High Risk
1515,Diploma,Urban,3941,Stable
1516,Degree,Urban,3385,Stable
1517,Diploma,Urban,5050,High Risk
1518,Diploma,Urban,4689,Stable
1519,Degree,Urban,7314,Stable
1520,Degree,Urban,4747,Stable
1521,Degree,Rural,5771,Stable
1522,Diploma,Rural,2016,High Risk
1523,Diploma,Rural,1500,High Risk
1524,Diploma,Urban,4377,Stable
1525,Degree,Urban,4633,Stable
1526,Diploma,Rural,2564,High Risk
1527,Diploma,Urban,3325,High Risk
1528,Degree,Urban,7404,Stable
1529,Degree,Rural,3719,Stable
1530,Degree,Urban,3044,Stable
1531,Diploma,Urban,2582,High Risk
1532,Degree,Rural,5514,High Risk
1533,Diploma,Urban,2786,High Risk
1534,Degree,Rural,5746,Stable
1535,Diploma,Rural,2832,High Risk
1536,Degree,Urban,5516,Stable
1537,Degree,Urban,3014,High Risk
1538,Diploma,Rural,2899,High Risk
1539,Diploma,Rural,2830,Stable
1540,Diploma,Urban,3590,Stable
1541,Degree,Urban,4876,Stable
1542,Diploma,Rural,2116,High Risk
1543,Diploma,Urban,2584,High Risk
1544,Diploma,Urban,2421,High Risk
1545,Degree,Urban,6069,Stable
1546,Degree,Rural,3582,Stable
1547,Degree,Urban,5621,Stable
1548,Degree,Urban,5885,Stable
1549,Diploma,Urban,2644,High Risk
1550,Diploma,Urban,3558,High Risk
1551,Diploma,Urban,3773,Stable
1552,Degree,Rural,4761,Stable
1553,Diploma,Urban,3060,High Risk
1554,Degree,Urban,5487,Stable
1555,Diploma,Urban,4619,Stable
1556,Degree,Rural,4782,Stable
1557,Diploma,Rural,2433,High Risk
1558,Degree,Rural,2928,High Risk
1559,Degree,Urban,5986,Stable
1560,Diploma,Urban,1942,High Risk
1561,Diploma,Urban,3939,Stable
1562,Diploma,Rural,4522,Stable
1563,Diploma,Rural,2515,High Risk
1564,Degree,Urban,6954,High Risk
1565,Diploma,Urban,3128,High Risk
1566,Degree,Rural,5561,Stable
1567,Degree,Urban,6011,Stable
1568,Diploma,Urban,2126,High Risk
1569,Degree,Urban,3999,Stable
1570,Diploma,Rural,3010,Stable
1571,Degree,Rural,4857,High Risk
1572,Diploma,Urban,3077,High Risk
1573,Diploma,Urban,4035,Stable
1574,Diploma,Urban,3147,High Risk
1575,Degree,Rural,4197,Stable
1576,Diploma,Urban,3241,High Risk
1577,Degree,Rural,6104,Stable
1578,Degree,Urban,6496,Stable
1579,Diploma,Urban,5476,Stable
1580,Degree,Rural,4927,Stable
1581,Degree,Urban,5461,Stable
1582,Diploma,Rural,2606,High Risk
1583,Diploma,Urban,3894,Stable
1584,Degree,Rural,4449,Stable
1585,Degree,Urban,5132,Stable
1586,Degree,Urban,5319,Stable
1587,Degree,Urban,7165,High Risk
1588,Degree,Rural,6026,Stable
1589,Degree,Urban,5660,Stable
1590,Degree,Rural,5303,Stable
1591,Degree,Urban,4310,High Risk
1592,Degree,Rural,4326,Stable
1593,Degree,Urban,4654,High Risk
1594,Diploma,Urban,3334,High Risk
1595,Diploma,Rural,3118,Stable
1596,Degree,Rural,3385,Stable
1597,Degree,Urban,5542,Stable
1598,Degree,Urban,5477,High Risk
1599,Diploma,Urban,2612,High Risk
1600,Degree,Urban,5160,Stable
1601,Degree,Urban,5603,Stable
1602,Diploma,Urban,3133,Stable
1603,Degree,Urban,4016,Stable
1604,Diploma,Urban,3161,High Risk
1605,Diploma,Urban,3743,Stable
1606,Degree,Urban,5066,Stable
1607,Degree,Urban,8425,High Risk
1608,Diploma,Urban,1725,High Risk
1609,Degree,Urban,6708,Stable
1610,Degree,Rural,3938,Stable
1611,Diploma,Urban,4697,Stable
1612,Degree,Urban,6798,Stable
1613,Degree,Urban,4585,Stable
1614,Degree,Rural,1500,High Risk
1615,Degree,Urban,5625,Stable
1616,Diploma,Rural,2363,Stable
1617,Diploma,Urban,3793,Stable
1618,Degree,Urban,4441,High Risk
1619,Diploma,Urban,4564,Stable
1620,Degree,Urban,3228,High Risk
1621,Degree,Urban,6779,Stable
1622,Degree,Urban,4150,High Risk
1623,Diploma,Urban,5037,Stable
1624,Diploma,Urban,3987,High Risk
1625,Degree,Rural,5235,Stable
1626,Diploma,Urban,2073,High Risk
1627,Diploma,Urban,2090,High Risk
1628,Diploma,Urban,2589,Stable
1629,Degree,Urban,6892,Stable
1630,Diploma,Urban,3521,Stable
1631,Degree,Urban,4804,Stable
1632,Diploma,Rural,4144,Stable
1633,Degree,Urban,6212,High Risk
1634,Diploma,Rural,2382,High Risk
1635,Degree,Urban,6346,High Risk
1636,Degree,Urban,4489,Stable
1637,Diploma,Rural,2887,High Risk
1638,Diploma,Urban,3075,Stable
1639,Degree,Urban,4520,Stable
1640,Diploma,Urban,3220,High Risk
1641,Diploma,Urban,3742,Stable
1642,Degree,Urban,6786,Stable
1643,Diploma,Urban,2822,High Risk
1644,Diploma,Urban,2265,High Risk
1645,Diploma,Urban,3627,Stable
1646,Diploma,Rural,1500,Stable
1647,Diploma,Urban,3560,Stable
1648,Degree,Urban,7147,Stable
1649,Diploma,Rural,4105,Stable
1650,Degree,Urban,4172,Stable
1651,Degree,Urban,5821,Stable
1652,Degree,Rural,3403,High Risk
1653,Diploma,Urban,3124,High Risk
1654,Degree,Urban,3594,Stable
1655,Diploma,Urban,3683,High Risk
1656,Diploma,Urban,3945,High Risk
1657,Degree,Urban,7954,High Risk
1658,Diploma,Rural,1886,High Risk
1659,Degree,Urban,5854,Stable
1660,Diploma,Rural,1657,High Risk
1661,Diploma,Rural,2251,High Risk
1662,Degree,Rural,5624,Stable
1663,Degree,Urban,5111,Stable
1664,Diploma,Rural,1500,High Risk
1665,Degree,Urban,5198,Stable
1666,Diploma,Urban,3015,High Risk
1667,Degree,Urban,7533,Stable
1668,Diploma,Rural,2396,High Risk
1669,Degree,Rural,7126,Stable
1670,Degree,Urban,7264,Stable
1671,Degree,Urban,6212,High Risk
1672,Diploma,Urban,3459,Stable
1673,Degree,Urban,3921,Stable
1674,Degree,Rural,5205,Stable
1675,Degree,Urban,5554,Stable
1676,Degree,Urban,6510,Stable
1677,Diploma,Urban,4222,Stable
1678,Degree,Urban,7179,High Risk
1679,Degree,Rural,3320,Stable
1680,Diploma,Urban,1683,High Risk
1681,Degree,Urban,8719,High Risk
1682,Degree,Urban,5703,Stable
1683,Diploma,Urban,4450,Stable
1684,Diploma,Urban,3457,High Risk
1685,Degree,Urban,7959,High Risk
1686,Diploma,Rural,3840,Stable
1687,Diploma,Urban,3686,Stable
1688,Degree,Rural,5044,High Risk
1689,Degree,Urban,5937,Stable
1690,Diploma,Urban,3246,High Risk
1691,Diploma,Urban,2260,High Risk
1692,Degree,Urban,6085,High Risk
1693,Diploma,Urban,4256,Stable
1694,Degree,Urban,5262,Stable
1695,Diploma,Urban,2472,High Risk
1696,Diploma,Urban,3071,High Risk
1697,Diploma,Urban,3922,Stable
1698,Diploma,Urban,2990,High Risk
1699,Degree,Urban,6372,Stable
1700,Diploma,Urban,2720,High Risk
1701,Diploma,Urban,3948,Stable
1702,Degree,Rural,5347,Stable
1703,Degree,Rural,2704,High Risk
1704,Degree,Urban,5151,Stable
1705,Diploma,Urban,2790,High Risk
1706,Diploma,Urban,3075,High Risk
1707,Degree,Rural,3674,Stable
1708,Degree,Urban,7138,Stable
1709,Degree,Urban,4238,Stable
1710,Degree,Urban,5294,Stable
1711,Diploma,Urban,3367,High Risk
1712,Degree,Urban,6457,Stable
1713,Diploma,Urban,4473,High Risk
1714,Degree,Urban,7093,Stable
1715,Diploma,Urban,3215,High Risk
1716,Degree,Urban,5526,Stable
1717,Diploma,Rural,2695,High Risk
1718,Diploma,Urban,3657,Stable
1719,Degree,Urban,6527,Stable
1720,Diploma,Urban,3931,Stable
1721,Degree,Urban,6132,Stable
1722,Degree,Urban,6083,Stable
1723,Degree,Urban,5883,Stable
1724,Degree,Urban,6495,Stable
1725,Diploma,Urban,3785,Stable
1726,Diploma,Rural,2466,Stable
1727,Degree,Urban,5144,Stable
1728,Degree,Urban,4471,Stable
1729,Diploma,Urban,2438,High Risk
1730,Diploma,Urban,4356,Stable
1731,Degree,Urban,4998,Stable
1732,Diploma,Urban,3650,Stable
1733,Diploma,Urban,4166,High Risk
1734,Degree,Urban,4858,Stable
1735,Degree,Urban,7041,Stable
1736,Degree,Rural,4127,Stable
1737,Degree,Urban,6032,Stable
1738,Diploma,Urban,3872,Stable
1739,Diploma,Urban,3305,Stable
